c,file
1,interfaces/error/cust_GPI_BOOK_CONF/MSG258539983.txt
1,interfaces/error/cust_GPI_BOOK_CONF
1,interfaces/error
1,interfaces/archiv/swift_FIN/server-acceptancetest8451659913530274887.tmp
1,interfaces/archiv/swift_FIN/server-acceptancetest7498612876119767807.tmp
1,interfaces/archiv/swift_FIN/server-acceptancetest3658399925518128878.tmp
1,interfaces/archiv/swift_FIN
1,interfaces/archiv/sepaSendOut
1,interfaces/archiv/sepaCustomerBulkIn_EPC
1,interfaces/archiv/cust_GPI_BOOK_CONF/MSG111668377.txt
1,interfaces/archiv/cust_GPI_BOOK_CONF/85690aa7-e408-4e8b-9376-77bfc60ef04a.txt
1,interfaces/archiv/cust_GPI_BOOK_CONF/409bea37-9e6b-4c86-94f5-1aa28cfa43a8.txt
1,interfaces/archiv/cust_GPI_BOOK_CONF/1beacac4-690c-485a-918c-f9f7fed4dbf8.txt
1,interfaces/archiv/cust_GPI_BOOK_CONF/1ade1946-d285-4f02-99bb-12a6c15febd0.txt
1,interfaces/archiv/DZAZVSST061_CBAZV-AI
1,interfaces/BROADRIDGE.INBOUND
1,container/webservices/logs/k8out.log
1,container/server-test/config
1,container/jobserver/logs/ph-job-server_2021-01-06-1.log.gz
1,container/jobserver/logs/ph-job-server-admin.log
1,container/jobserver/logs/debug/ph-job-server-debug.log
1,container/job-control-agent/README.txt
1,container/ip-testtool/logs/k8out.log
1,container/ip-testtool/databaseDumps.tar.gz
1,container/ip-testtool/config
1,container/ip-testtool/SEPA-maven.log
1,container/ip-testtool/IP_OFFLINE-maven.log
1,container/interface-simulation/logs/k8out.log
1,container/interface-simulation/logs/isimulation.out
1,container/interface-simulation/config
1,container/instant-server/logs
1,container/gui/zip
1,container/gui/logs/localhost.2021-01-11.log
1,container/gui/logs/localhost.2020-12-21.log
1,container/gui/config
1,container/gui.zip
1,container/databasefiller/config/databaseFillerConfig.json
1,container/database/diag/rdbms/orcl/ORCL/trace
1,container/database/diag/rdbms/orcl/ORCL/log/debug/log.xml
1,container/database/diag/rdbms/orcl/ORCL/log/debug.log
1,container/cucumber-test/logs/entrypoint.log
1,container/cucumber-test/README.txt
1,container/bazel-test-image-builder/k8-logs/3450822-ph-assemble-k8.log
1,container/bazel-test-image-builder/k8-logs/3446724-ph-assemble-test-k8.log
1,container/bazel-test-image-builder/k8-logs/3446116-acceptance-test-k8.log
1,container/bazel-test-image-builder/k8-logs/3439424-tph-internal-k8.log
1,container/bazel-test-image-builder/k8-logs/3439423-tph-test-k8.log
1,container/bazel-test-image-builder/k8-logs/3439422-tph-k8.log
1,container/bazel-test-image-builder/k8-logs/3439416-ph-assemble-test-k8.log
1,container/bazel-test-image-builder/k8-logs/3439415-ph-assemble-k8.log
1,container/bazel-test-image-builder/k8-logs/3439410-ph-assemble-test-k8.log
1,container/bazel-test-image-builder/k8-logs/3439409-ph-assemble-k8.log
1,container/bazel-test-image-builder/k8-logs/3438859-ph-assemble-k8.log
1,container/bazel-test-image-builder/k8-logs/3437589-ph-compile-k8.log
1,container/bazel-test-image-builder/k8-logs/3435354-ph-compile-k8.log
1,container/bazel-test-image-builder/k8-logs/3433905-ph-compile-k8.log
1,container/bazel-test-image-builder/k8-logs/3431363-ph-compile-k8.log
1,container/bazel-test-image-builder/k8-logs/3383548-jobserver-k8.log
1,container/bazel-test-image-builder/k8-logs/3383541-database-k8.log
1,container/bazel-test-image-builder/k8-logs/3371934-ph-compile-k8.log
1,container/bazel-test-image-builder/k8-logs/3331114-acceptance-test-k8.log
1,container/bazel-test-image-builder/k8-logs/3268131-ph-compile-k8.log
1,container/bazel-test-image-builder/k8-logs/3263906-ph-compile-k8.log
1,container/bazel-test-image-builder/k8-logs/3263266-ph-compile-k8.log
1,container/bazel-test-image-builder/k8-logs/3263072-ph-compile-k8.log
1,container/bazel-test-image-builder/k8-logs/3248828-ph-compile-k8.log
1,checkstyle/ph-svc-business/target/checkstyle-result.xml
1,checkstyle/ph-svc-business/target
1,checkstyle/ph-svc-business
1,checkstyle/ph-geno-tasks/target/checkstyle-result.xml
1,checkstyle/ph-geno-tasks/target
1,checkstyle/ph-geno-tasks
1,checkstyle/ph-aareal-api/target/checkstyle-result.xml
1,checkstyle/ph-aareal-api/target
1,checkstyle/ph-aareal-api
1,9-3236082_FAILED/test-results/instant-gui-test/htmlReports
1,2-3418985_FAILED
1,2-3322110_FAILED
